FUNC __main__.calculate_z_serial_purepython 115.4648 1634726860.5905 126.1328 1634726865.1731 1
FUNC __main__.calc_pure_python 38.0820 1634726860.3466 38.5859 1634726865.2005 0
CMDLINE /home/demon/workspace/high_performance_python/venv/bin/python julia1_memoryprofiler.py
MEM 0.718750 1634726860.1308
MEM 24.148438 1634726860.2314
MEM 37.929688 1634726860.3319
MEM 65.113281 1634726860.4325
MEM 97.105469 1634726860.5330
MEM 122.937500 1634726860.6335
MEM 123.132812 1634726860.7340
MEM 123.132812 1634726860.8344
MEM 123.132812 1634726860.9349
MEM 123.132812 1634726861.0354
MEM 123.382812 1634726861.1360
MEM 123.382812 1634726861.2365
MEM 123.382812 1634726861.3370
MEM 123.632812 1634726861.4376
MEM 123.632812 1634726861.5381
MEM 123.632812 1634726861.6387
MEM 123.632812 1634726861.7393
MEM 123.882812 1634726861.8398
MEM 123.882812 1634726861.9403
MEM 123.882812 1634726862.0407
MEM 124.132812 1634726862.1412
MEM 124.132812 1634726862.2417
MEM 124.132812 1634726862.3423
MEM 124.132812 1634726862.4428
MEM 124.382812 1634726862.5433
MEM 124.382812 1634726862.6439
MEM 124.382812 1634726862.7445
MEM 124.632812 1634726862.8450
MEM 124.632812 1634726862.9455
MEM 124.632812 1634726863.0461
MEM 124.632812 1634726863.1466
MEM 124.882812 1634726863.2471
MEM 124.882812 1634726863.3477
MEM 124.882812 1634726863.4482
MEM 125.132812 1634726863.5488
MEM 125.132812 1634726863.6493
MEM 125.132812 1634726863.7497
MEM 125.132812 1634726863.8503
MEM 125.382812 1634726863.9508
MEM 125.382812 1634726864.0514
MEM 125.382812 1634726864.1520
MEM 125.632812 1634726864.2524
MEM 125.632812 1634726864.3529
MEM 125.632812 1634726864.4533
MEM 125.632812 1634726864.5539
MEM 125.882812 1634726864.6543
MEM 125.882812 1634726864.7549
MEM 125.882812 1634726864.8554
MEM 126.132812 1634726864.9560
MEM 126.132812 1634726865.0565
MEM 126.132812 1634726865.1570
